2021-04-29 17:24:26,232 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-04-29 17:24:32,332 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 17:24:32,332 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 17:24:32,332 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 17:24:32,332 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 17:24:32,343 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-04-29 17:24:32,885 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 6 results
2021-04-29 17:24:33,046 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2021-04-29 17:24:33,098 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2021-04-29 17:24:33,224 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2021-04-29 17:24:33,666 | DEBUG | ulauncher.api.shared.action.RunScriptAction: run() | Running a script from /tmp/ulauncher_RunScript_m3zu_wvs
2021-04-29 17:24:33,677 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-04-29 17:24:34,671 | DEBUG | ulauncher.api.shared.action.RunScriptAction: remove_temp_file() | Deleting a temporary file /tmp/ulauncher_RunScript_m3zu_wvs
2021-04-29 17:24:35,013 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 17:24:35,013 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 17:24:35,013 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 17:24:35,013 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 17:24:35,025 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-04-29 17:24:35,382 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 7 results
2021-04-29 17:24:35,576 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2021-04-29 17:24:36,053 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2021-04-29 17:24:36,445 | DEBUG | ulauncher.api.shared.action.RunScriptAction: run() | Running a script from /tmp/ulauncher_RunScript_7hdvh2g8
2021-04-29 17:24:36,456 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-04-29 17:24:37,450 | DEBUG | ulauncher.api.shared.action.RunScriptAction: remove_temp_file() | Deleting a temporary file /tmp/ulauncher_RunScript_7hdvh2g8
2021-04-29 17:24:43,020 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 17:24:43,020 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 17:24:43,021 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 17:24:43,021 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 17:24:43,028 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-04-29 17:24:43,440 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 6 results
2021-04-29 17:24:43,628 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2021-04-29 17:24:43,741 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2021-04-29 17:24:43,866 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2021-04-29 17:24:44,470 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Firefox Developer Edition (/usr/share/applications/firefox-developer-edition.desktop)
2021-04-29 17:24:44,484 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-04-29 17:25:50,039 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 17:25:50,039 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 17:25:50,039 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 17:25:50,039 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 17:25:50,046 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-04-29 17:25:53,341 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 17:25:53,342 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 17:25:53,342 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 17:25:53,342 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 17:25:53,349 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-04-29 17:25:54,067 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 6 results
2021-04-29 17:25:54,247 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2021-04-29 17:25:54,310 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2021-04-29 17:25:54,458 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2021-04-29 17:25:54,875 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Firefox Developer Edition (/usr/share/applications/firefox-developer-edition.desktop)
2021-04-29 17:25:54,888 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-04-29 17:49:45,153 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 17:49:45,153 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 17:49:45,154 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 17:49:45,154 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 17:49:45,165 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-04-29 17:49:46,370 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2021-04-29 17:49:46,523 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2021-04-29 17:49:46,624 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2021-04-29 17:49:46,894 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2021-04-29 17:49:47,031 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2021-04-29 17:49:47,198 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2021-04-29 17:49:47,402 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2021-04-29 17:49:47,574 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Discord (/usr/share/applications/discord.desktop)
2021-04-29 17:49:47,588 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-04-29 17:52:00,918 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 17:52:00,918 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 17:52:00,919 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 17:52:00,919 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 17:52:00,930 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-04-29 17:52:02,185 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application 1Password (/usr/share/applications/1password.desktop)
2021-04-29 18:00:20,896 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 18:00:20,897 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 18:00:20,897 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 18:00:20,897 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 18:00:20,909 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-04-29 18:00:21,339 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2021-04-29 18:00:21,526 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2021-04-29 18:00:21,589 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2021-04-29 18:00:21,819 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2021-04-29 18:00:22,252 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application IntelliJ IDEA Ultimate Edition (/usr/share/applications/jetbrains-idea.desktop)
2021-04-29 18:00:22,266 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-04-29 18:00:34,249 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 18:00:34,249 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
